iter	Passed	Remaining
0	1	143
1	2	127
2	3	120
3	4	109
4	5	111
5	6	108
6	8	106
7	9	105
8	10	103
9	11	101
10	12	100
11	13	98
12	14	96
13	16	100
14	17	99
15	18	98
16	19	96
17	20	95
18	22	93
19	23	92
20	24	91
21	25	90
22	26	88
23	27	87
24	28	86
25	29	85
26	31	84
27	32	82
28	33	81
29	35	82
30	36	81
31	37	80
32	39	79
33	40	78
34	41	76
35	42	75
36	43	74
37	45	73
38	46	72
39	47	71
40	48	70
41	49	67
42	50	66
43	51	65
44	52	64
45	53	63
46	55	62
47	56	61
48	58	60
49	59	59
50	60	58
51	61	56
52	62	55
53	63	54
54	64	52
55	66	52
56	67	50
57	68	49
58	69	48
59	70	47
60	72	46
61	73	44
62	74	43
63	75	42
64	76	41
65	77	40
66	79	38
67	80	37
68	81	36
69	82	35
70	83	34
71	84	32
72	85	31
73	87	30
74	88	29
75	89	28
76	90	27
77	91	25
78	92	24
79	93	23
80	95	22
81	96	21
82	97	19
83	98	18
84	99	17
85	100	16
86	102	15
87	103	14
88	104	12
89	105	11
90	107	10
91	108	9
92	109	8
93	110	7
94	111	5
95	112	4
96	114	3
97	115	2
98	116	1
99	117	0
